Dimensions,Weight (lbs),FedEx Ground or FedEx Home Delivery,FedEx Standard Overnight,UPS Ground,UPS 3 Day Select,UPS 2nd Day Air,UPS Next Day Air Savar,UPS Next Day Air,USPS Priority,USPS Priority Express
28x18x12,34,31.21,239.36,36.63,49.33,69.83,138.64,145.44,106.45,253.88
28x18x18,34,38.01,331.2,45.42,68.53,97.72,192.03,201.51,125.93,357.97
28x20x10,34,29.7,224.45,34.22,46.14,65.17,129.74,136.17,102.58,237.25
28x20x12,34,33.6,256.2,39.27,53.6,76.02,150.5,157.9,111.36,278.48
28x20x20,34,73.46,424.05,62.89,94.13,129.62,242.35,253.75,138.43,434.98
28x20x24,34,77.82,494.44,69.38,108.74,152.9,283.7,297.17,0.0,0.0
28x20x25,34,79.64,502.04,71.9,113.28,160.23,296.57,310.69,0.0,0.0
28x24x6,34,29.7,224.45,34.22,46.14,65.17,129.74,136.17,102.58,237.25
28x24x12,34,37.33,286.79,44.34,62.13,88.42,174.24,182.82,119.87,323.93
28x24x20,34,77.82,494.44,69.38,108.74,152.9,283.7,297.17,0.0,0.0
28x28x6,34,29.7,224.45,34.22,46.14,65.17,129.74,136.17,102.58,237.25
28x28x8,34,31.83,242.62,37.39,50.4,71.37,141.61,148.56,107.76,259.57
28x28x10,34,37.23,286.61,44.21,61.06,86.87,171.27,179.7,118.86,318.18
28x28x12,34,70.19,366.5,58.31,82.4,112.58,209.72,219.49,127.49,372.23
28x28x20,34,85.7,554.82,80.04,124.62,178.57,328.77,344.5,0.0,0.0
28x28x22,34,89.48,619.64,86.38,134.82,195.08,357.75,374.92,0.0,0.0
28x28x28,34,339.65,0.0,178.22,237.21,317.77,520.63,542.47,0.0,0.0
29x17x3,34,29.7,224.45,34.22,46.14,65.17,129.74,136.17,77.58,212.25
29x17x5,34,29.7,224.45,34.22,46.14,65.17,129.74,136.17,77.58,212.25
29x17x7,34,29.7,224.45,34.22,46.14,65.17,129.74,136.17,77.58,212.25
29x17x9,34,29.7,224.45,34.22,46.14,65.17,129.74,136.17,102.58,237.25
29x17x12,34,30.86,232.66,35.9,48.27,68.27,135.67,142.33,105.17,248.3
29x17x15,34,35.37,276.9,42.05,57.87,82.22,162.36,170.36,115.7,301.1
29x17x20,34,39.74,347.54,47.98,73.86,105.47,206.86,217.08,129.6,389.27
29x24x24,34,89.02,602.86,84.63,131.42,189.58,348.09,364.78,0.0,0.0
30x5x24,34,29.7,224.45,34.22,46.14,65.17,129.74,136.17,102.58,237.25
30x6x6,34,29.7,224.45,34.22,46.14,65.17,129.74,136.17,77.58,212.25
30x6x24,34,29.7,224.45,34.22,46.14,65.17,129.74,136.17,102.58,237.25
30x6x30,34,29.7,224.45,34.22,46.14,65.17,129.74,136.17,102.58,237.25
30x6x40,34,66.77,306.39,53.47,68.55,92.42,171.15,178.99,0.0,0.0
30x8x8,34,29.7,224.45,34.22,46.14,65.17,129.74,136.17,77.58,212.25
30x10x10,34,29.7,224.45,34.22,46.14,65.17,129.74,136.17,77.58,212.25
30x12x4,34,29.7,224.45,34.22,46.14,65.17,129.74,136.17,77.58,212.25
30x12x6,34,29.7,224.45,34.22,46.14,65.17,129.74,136.17,77.58,212.25
30x12x12,34,29.7,224.45,34.22,46.14,65.17,129.74,136.17,102.58,237.25
30x13x13,34,29.7,224.45,34.22,46.14,65.17,129.74,136.17,102.58,237.25
